Description,Price,Rating,Review Count,URL
"pTron Bassbuds Sports True Wireless Bluetooth 5.1 Headphones with Deep Bass, 32Hrs Total Playtime, Ergonomic Hook Design & IPX4 Water/Sweat Resistant Earphones with Built-in HD Mic (Black)","₹1,099",3.4 out of 5 stars,"5,279",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A08250702LYFB939EGBF4&url=%2FBassbuds-Sports-Bluetooth-Headphones-Ergonomic%2Fdp%2FB0924VW867%2Fref%3Dsr_1_28_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748221%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-28-spons%26psc%3D1&qualifier=1641748221&id=2724894085081939&widgetName=sp_mtf
"Newly Launched Boult Audio ZCharge Wireless Earphones with 40H Playtime & Super Fast Charging, Environmental Noise Cancellation for Pro+ Calling & IPX5 Water Resistant (Blue)","₹1,499",4.2 out of 5 stars,104,https://www.amazon.in/Boult-Audio-Earphones-Environmental-Cancellation/dp/B09NR7Z144/ref=sr_1_29?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&smid=A14CZOWI0VEHLG&sprefix=wireless+earphones%2Caps%2C238&sr=8-29
WeCool Moonwalk Mini Earbuds with Magnetic Charging Case IPX5 Wireless Earphones with Digital Battery Indicator for Crisp Sound Bluetooth Earphones for Secure Sports Fit (Yellow),₹799,3.8 out of 5 stars,"32,738",https://www.amazon.in/Moonwalk-Mini-Earphones-Indicator-Bluetooth/dp/B08NB1YRW2/ref=sr_1_30?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-30
iBall B9 Nano Earwear Ring-Dock Bluetooth Wireless in Ear Earphones with Mic (Black),₹699,3.5 out of 5 stars,"4,401",https://www.amazon.in/iBall-B9-Earwear-Ring-Dock-Black/dp/B07JPYH4JG/ref=sr_1_31?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-31
"Pro Bluetooth Neckband | Wireless Earphone with Mic | Noise Cancellation Works with Samsung, iPhone, MI, One Plus, Vivo | Google Assistance",₹299,3.6 out of 5 stars,167,https://www.amazon.in/Bluetooth-Neckband-Wireless-Cancellation-Assistance/dp/B09K57VV6R/ref=sr_1_32?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-32
"ENVOUS New Wireless Bluetooth Headset Headphone for Calling & Music with Magnetic Wireless Bluetooth Earphone Sports Stereo Jogger, Running, Gyming for All Smartphone & Tablets",₹269,4.6 out of 5 stars,53,https://www.amazon.in/ENVOUS-Wireless-Bluetooth-Headphone-Smartphone/dp/B09NQ96DT4/ref=sr_1_33?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-33
"Lowfe New S530 Wireless Bluetooth or S530 Mini Bluetooth Earphone or Small Kaju Bluetooth earpiece, Mini S530 Hands-Free Bluetooth Earbuds Headset Earphones with Mic for All Smartphone",₹219,5.0 out of 5 stars,4,https://www.amazon.in/Lowfe-New-S530-Hands-Free-Smartphone/dp/B09P8BMCTD/ref=sr_1_34?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-34
"TEQNEQ S5 Wireless Bluetooth Headphones, Headset with Mic and HD Sound Earphone for Mi Note 5/6/7 Pro, 6A, Y2, A2, A1, Y3 All Smartphones (Black)",₹219,5.0 out of 5 stars,1,https://www.amazon.in/TEQNEQ-Wireless-Bluetooth-Headphones-Smartphones/dp/B09P8J45YQ/ref=sr_1_35?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-35
"boAt Rockerz 205 Pro Wireless Neckband with Beast™ Mode, ENx™ Mode for Clear Voice Delivery, ASAP™ Charge, 10mm Drivers, IPX5, Bluetooth v5.2, 30HRS Playtime(Buoyant Blue)","₹1,199",3.9 out of 5 stars,"1,906",https://www.amazon.in/boAt-Rockerz-205-Pro-Bluetooth/dp/B09JGNL1QZ/ref=sr_1_36?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-36
"Boult Audio AirBass TrueBuds TWS Earbuds with 30H Playtime & Fast Charging with Type-C, IPX7 Fully Waterproof and Voice Assistant (Grey)","₹1,299",3.7 out of 5 stars,"9,622",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0799800FWC4WBJGB8LP&url=%2FBoult-Audio-TrueBuds-Wireless-Waterproof%2Fdp%2FB08CFCK6CW%2Fref%3Dsr_1_37_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748221%26smid%3DA14CZOWI0VEHLG%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-37-spons%26psc%3D1&qualifier=1641748221&id=2724894085081939&widgetName=sp_btf
